City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Novo Aripuana,BR,-5.1206,-60.3797,76.96,58,71,2.35,broken clouds
131,Bandarbeyla,SO,9.4942,50.8122,76.95,74,35,24.9,scattered clouds
132,Faanui,PF,-16.4833,-151.75,78.91,74,63,9.64,broken clouds
133,Clyde River,CA,70.4692,-68.5914,39.43,100,40,3.44,scattered clouds
134,Polyarnyy,RU,69.1989,33.4478,37.87,87,94,7.47,overcast clouds
135,Crotone,IT,39.0851,17.1178,79.93,68,0,4.63,clear sky
136,Kamogawa,JP,35.1,140.1,78.13,92,100,16.75,overcast clouds
137,Hobart,AU,-42.8794,147.3294,57.22,77,75,1.99,broken clouds
138,Castro,BR,-24.7911,-50.0119,58.68,60,84,4.74,broken clouds
139,Chandler,US,33.3062,-111.8412,99.82,33,20,1.01,few clouds
140,Wilmington,US,34.2257,-77.9447,82.98,86,44,1.01,scattered clouds
141,Mananara,MG,-16.1667,49.7667,64.92,92,80,6.42,light rain
142,Honiara,SB,-9.4333,159.95,85.57,67,95,6.49,overcast clouds
143,Meiganga,CM,6.5167,14.3,64.74,96,100,2.8,overcast clouds
144,Northam,GB,51.0333,-4.2167,64.65,95,100,10.78,moderate rain
145,Raga,SS,8.4596,25.678,67.96,95,93,3.22,overcast clouds
146,Alice Springs,AU,-23.7,133.8833,71.15,15,86,23.02,overcast clouds
147,Chara,RU,56.9064,118.2631,67.89,56,0,2.08,clear sky
148,Carutapera,BR,-1.195,-46.02,74.53,93,39,4.99,scattered clouds
149,Bumba,CD,2.1833,22.4667,72.63,87,100,1.7,overcast clouds
150,Otavi,NA,-19.65,17.3333,50.27,42,0,8.84,clear sky
151,Cravo Norte,CO,6.3017,-70.2041,75.31,91,100,3.67,overcast clouds
152,Grandola,PT,38.1772,-8.5668,67.3,89,0,7.7,clear sky
153,New Iberia,US,30.0035,-91.8187,87.98,79,20,3.44,few clouds
154,Alvaraes,BR,-3.2208,-64.8042,79.29,70,93,2.35,overcast clouds
155,Nouadhibou,MR,20.931,-17.0347,70.39,84,6,24.74,clear sky
156,Pevek,RU,69.7008,170.3133,35.49,91,99,17.58,overcast clouds
157,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,9.22,broken clouds
158,Lensk,RU,60.7253,114.9278,84.56,39,5,3.96,clear sky
159,Qarqin,AF,37.4185,66.0436,87.24,26,0,21.39,clear sky
160,Buritis,BR,-15.6178,-46.4233,65.14,43,0,1.43,clear sky
161,Kachiry,KZ,53.0675,76.1036,55.71,61,0,9.89,clear sky
162,Chapais,CA,49.7834,-74.8492,55.18,86,69,8.39,broken clouds
163,Codrington,AU,-38.2667,141.9667,53.28,66,100,19.1,overcast clouds
164,Fort Nelson,CA,58.8053,-122.7002,74.79,33,75,5.75,light rain
165,Sabang,ID,5.8933,95.3214,83.41,76,100,18.88,overcast clouds
166,Benito Juarez,MX,19.385,-99.165,71.19,51,90,3.0,light rain
167,Matara,LK,5.9485,80.5353,79.0,89,100,10.98,overcast clouds
168,Hovd,MN,48.0056,91.6419,67.84,51,11,1.88,few clouds
169,Alexandria,EG,31.2156,29.9553,76.96,78,0,5.75,clear sky
170,Bluff,NZ,-46.6,168.3333,51.8,70,14,20.56,few clouds
171,Pirovskoye,RU,57.6267,92.2658,70.93,81,100,7.99,overcast clouds
172,Thompson,CA,55.7435,-97.8558,69.96,37,40,8.05,scattered clouds
173,Morondava,MG,-20.2833,44.2833,64.9,68,54,12.28,broken clouds
174,Ardalstangen,NO,61.2371,7.6983,69.42,76,100,5.37,overcast clouds
175,Bethel,US,41.3712,-73.414,80.71,79,75,4.61,haze
176,Ahipara,NZ,-35.1667,173.1667,58.51,66,0,17.05,clear sky
177,New Norfolk,AU,-42.7826,147.0587,56.88,82,99,5.26,overcast clouds
178,Shelburne,CA,44.0787,-80.2041,78.69,76,0,6.22,clear sky
179,Lorengau,PG,-2.0226,147.2712,83.25,75,96,3.04,overcast clouds
180,Huarmey,PE,-10.0681,-78.1522,65.5,87,41,10.8,scattered clouds
181,Saskylakh,RU,71.9167,114.0833,56.98,65,100,8.37,overcast clouds
182,Haines Junction,CA,60.7522,-137.5108,57.15,82,100,3.44,overcast clouds
183,Manga,BF,11.6636,-1.0731,76.64,75,96,9.82,overcast clouds
184,Saint-Pierre,RE,-21.3393,55.4781,64.08,88,75,3.44,light rain
185,Cap Malheureux,MU,-19.9842,57.6142,68.49,86,91,5.99,light rain
186,Rio Grande,BR,-32.035,-52.0986,49.95,91,100,17.47,overcast clouds
187,Hilo,US,19.7297,-155.09,78.53,89,90,9.22,moderate rain
188,Fomboni,KM,-12.28,43.7425,75.51,72,10,16.33,light rain
189,Tiksi,RU,71.6872,128.8694,39.02,88,71,10.29,broken clouds
190,Praia,CV,14.9215,-23.5087,75.47,84,38,8.57,scattered clouds
191,Leningradskiy,RU,69.3833,178.4167,41.43,81,71,8.57,broken clouds
192,Taoudenni,ML,22.6783,-3.9836,100.35,8,0,8.43,clear sky
193,Olinda,BR,-8.0089,-34.8553,71.33,88,75,5.75,mist
194,Asau,RO,46.4333,26.4,67.75,79,20,4.76,few clouds
195,Sheridan,US,44.8333,-106.9173,99.01,18,1,1.01,clear sky
196,Kattivakkam,IN,13.2167,80.3167,80.69,64,95,16.02,overcast clouds
197,Buriti Alegre,BR,-18.14,-49.0403,64.11,43,0,4.41,clear sky
198,Capim Grosso,BR,-11.3811,-40.0128,67.24,89,76,7.85,broken clouds
199,Yuzhnyy,RU,53.2542,83.6936,57.58,88,40,11.18,scattered clouds
200,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
